#Magnetic field (mT)	Frequency (GHz)	Normalized transmission
65.0	2.095262100	0.998857116
65.0	2.095282100	0.999186016
65.0	2.095302100	1.002788619
65.0	2.095322100	1.000382797
65.0	2.095342100	0.999859216
65.0	2.095362100	1.000422875
65.0	2.095382200	1.001282289
65.0	2.095402200	1.000927880
65.0	2.095422200	0.998503084
65.0	2.095442200	1.001911260
65.0	2.095462200	1.000001215
65.0	2.095482200	0.999600860
65.0	2.095502200	0.999988576
65.0	2.095522200	1.000524852
65.0	2.095542200	1.000710594
65.0	2.095562200	1.000600671
65.0	2.095582200	1.000167776
65.0	2.095602200	1.002863447
65.0	2.095622200	0.998956147
65.0	2.095642300	1.000956621
